week_begin,product,market,price_eur_t,source,source_frequency
2026-06-08,BLTPAN|PAN,Ljubljana,219.46,DG AGRI agrifood API (cereal/prices),weekly
2026-06-15,BLTPAN|PAN,Ljubljana,223.45,DG AGRI agrifood API (cereal/prices),weekly
2026-06-22,BLTPAN|PAN,Ljubljana,222.40,DG AGRI agrifood API (cereal/prices),weekly
2026-06-29,BLTPAN|PAN,Ljubljana,201.85,DG AGRI agrifood API (cereal/prices),weekly
2026-07-06,BLTPAN|PAN,Ljubljana,186.95,DG AGRI agrifood API (cereal/prices),weekly
2026-07-13,BLTPAN|PAN,Ljubljana,201.59,DG AGRI agrifood API (cereal/prices),weekly
2026-07-20,BLTPAN|PAN,Ljubljana,189.47,DG AGRI agrifood API (cereal/prices),weekly
2026-07-27,BLTPAN|PAN,Ljubljana,215.49,DG AGRI agrifood API (cereal/prices),weekly
2026-08-03,BLTPAN|PAN,Ljubljana,215.60,DG AGRI agrifood API (cereal/prices),weekly
2026-08-10,BLTPAN|PAN,Ljubljana,216.70,DG AGRI agrifood API (cereal/prices),weekly
2026-08-17,BLTPAN|PAN,Ljubljana,198.25,DG AGRI agrifood API (cereal/prices),weekly
2026-08-24,BLTPAN|PAN,Ljubljana,221.46,DG AGRI agrifood API (cereal/prices),weekly
