month,product_code,index_2020_100,source,source_frequency
2025M07,41000,138.54,SURS 0410811S,monthly
2025M07,61000,137.90,SURS 0410811S,monthly
2025M07,61100,166.95,SURS 0410811S,monthly
2025M07,70000,140.45,SURS 0410811S,monthly
2025M08,41000,141.53,SURS 0410811S,monthly
2025M08,61000,150.81,SURS 0410811S,monthly
2025M08,61100,129.38,SURS 0410811S,monthly
2025M08,70000,142.05,SURS 0410811S,monthly
2025M09,41000,136.39,SURS 0410811S,monthly
2025M09,61000,124.13,SURS 0410811S,monthly
2025M09,61100,109.88,SURS 0410811S,monthly
2025M09,70000,145.77,SURS 0410811S,monthly
2025M10,41000,138.27,SURS 0410811S,monthly
2025M10,61000,132.32,SURS 0410811S,monthly
2025M10,61100,124.43,SURS 0410811S,monthly
2025M10,70000,141.88,SURS 0410811S,monthly
2025M11,41000,123.36,SURS 0410811S,monthly
2025M11,61000,170.93,SURS 0410811S,monthly
2025M11,61100,168.44,SURS 0410811S,monthly
2025M11,70000,163.00,SURS 0410811S,monthly
2025M12,41000,129.85,SURS 0410811S,monthly
2025M12,61000,139.71,SURS 0410811S,monthly
2025M12,61100,166.25,SURS 0410811S,monthly
2025M12,70000,169.33,SURS 0410811S,monthly
2026M01,41000,133.92,SURS 0410811S,monthly
2026M01,61000,173.19,SURS 0410811S,monthly
2026M01,61100,170.24,SURS 0410811S,monthly
2026M01,70000,130.26,SURS 0410811S,monthly
2026M02,41000,121.33,SURS 0410811S,monthly
2026M02,61000,166.37,SURS 0410811S,monthly
2026M02,61100,165.86,SURS 0410811S,monthly
2026M02,70000,135.10,SURS 0410811S,monthly
2026M03,41000,125.19,SURS 0410811S,monthly
2026M03,61000,166.42,SURS 0410811S,monthly
2026M03,61100,166.77,SURS 0410811S,monthly
2026M03,70000,140.70,SURS 0410811S,monthly
2026M04,41000,146.42,SURS 0410811S,monthly
2026M04,61000,178.46,SURS 0410811S,monthly
2026M04,61100,178.34,SURS 0410811S,monthly
2026M04,70000,139.05,SURS 0410811S,monthly
2026M05,41000,141.36,SURS 0410811S,monthly
2026M05,61000,149.49,SURS 0410811S,monthly
2026M05,61100,163.52,SURS 0410811S,monthly
2026M05,70000,136.79,SURS 0410811S,monthly
2026M06,41000,148.39,SURS 0410811S,monthly
2026M06,61000,159.59,SURS 0410811S,monthly
2026M06,61100,160.15,SURS 0410811S,monthly
2026M06,70000,142.22,SURS 0410811S,monthly
